class,CLAP,M2D-CLAP,delta
insects,0.275,0.9,0.625
washing_machine,0.55,0.8,0.25
wind,0.425,0.575,0.14999999999999997
crickets,0.575,0.675,0.10000000000000009
rooster,0.875,0.975,0.09999999999999998
pig,0.9,1.0,0.09999999999999998
footsteps,0.85,0.95,0.09999999999999998
helicopter,0.7,0.775,0.07500000000000007
snoring,0.9,0.975,0.07499999999999996
hen,0.925,1.0,0.07499999999999996
frog,0.925,1.0,0.07499999999999996
chainsaw,0.925,1.0,0.07499999999999996
brushing_teeth,0.925,1.0,0.07499999999999996
siren,0.975,1.0,0.025000000000000022
breathing,0.975,1.0,0.025000000000000022
car_horn,0.975,1.0,0.025000000000000022
coughing,0.975,1.0,0.025000000000000022
toilet_flush,1.0,1.0,0.0
thunderstorm,1.0,1.0,0.0
church_bells,1.0,1.0,0.0
train,1.0,1.0,0.0
sheep,1.0,1.0,0.0
sea_waves,1.0,1.0,0.0
vacuum_cleaner,0.925,0.925,0.0
pouring_water,1.0,1.0,0.0
water_drops,0.75,0.75,0.0
keyboard_typing,1.0,1.0,0.0
sneezing,0.95,0.95,0.0
clock_tick,0.975,0.975,0.0
crying_baby,1.0,1.0,0.0
glass_breaking,1.0,1.0,0.0
cow,1.0,1.0,0.0
clapping,1.0,1.0,0.0
crackling_fire,0.95,0.95,0.0
fireworks,1.0,1.0,0.0
clock_alarm,1.0,1.0,0.0
hand_saw,1.0,1.0,0.0
door_wood_knock,1.0,1.0,0.0
crow,1.0,1.0,0.0
dog,1.0,1.0,0.0
chirping_birds,0.975,0.95,-0.025000000000000022
laughing,1.0,0.975,-0.025000000000000022
cat,1.0,0.975,-0.025000000000000022
door_wood_creaks,0.975,0.95,-0.025000000000000022
drinking_sipping,0.9,0.85,-0.050000000000000044
mouse_click,0.9,0.85,-0.050000000000000044
engine,0.95,0.875,-0.07499999999999996
can_opening,0.95,0.85,-0.09999999999999998
airplane,0.95,0.825,-0.125
rain,0.95,0.8,-0.1499999999999999
